,Exp,ID,anomalyName,anomalyType,TN,FN,FP,TP,ACC,FPR,TPR,P,F1,Update_times,runtime
0,E1,0,normal,[],100,0,0,0,1.0,0.0,0,0,0,2,1.7563400268554688
1,E1,1,normal,[],100,0,0,0,1.0,0.0,0,0,0,2,1.7608509063720703
2,E1,2,normal,[],100,0,0,0,1.0,0.0,0,0,0,2,1.7693309783935547
3,E1,0,outlier,[0],95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,1.773231029510498
4,E1,1,outlier,[0],100,0,0,0,1.0,0.0,0,0,0,2,1.7781550884246826
5,E1,2,outlier,[0],100,0,0,0,1.0,0.0,0,0,0,2,1.78541898727417
6,E1,0,outlier,[1],95,5,0,0,0.95,0.0,0.0,0,0,2,1.7553751468658447
7,E1,1,outlier,[1],100,0,0,0,1.0,0.0,0,0,0,2,1.7603020668029785
8,E1,2,outlier,[1],100,0,0,0,1.0,0.0,0,0,0,2,1.7685291767120361
9,E1,0,outlier,[2],95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,1.7542190551757812
10,E1,1,outlier,[2],100,0,0,0,1.0,0.0,0,0,0,2,1.759253740310669
11,E1,2,outlier,[2],100,0,0,0,1.0,0.0,0,0,0,2,1.7668979167938232
12,E1,0,outlier,"[0, 1]",95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,1.7662858963012695
13,E1,1,outlier,"[0, 1]",100,0,0,0,1.0,0.0,0,0,0,2,1.7715280055999756
14,E1,2,outlier,"[0, 1]",100,0,0,0,1.0,0.0,0,0,0,2,1.778944969177246
15,E1,0,outlier,"[0, 2]",95,1,0,4,0.99,0.0,0.8,1.0,0.888888888888889,2,1.7559759616851807
16,E1,1,outlier,"[0, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.7613930702209473
17,E1,2,outlier,"[0, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.769327163696289
18,E1,0,outlier,"[1, 2]",95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,1.8003039360046387
19,E1,1,outlier,"[1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.8056390285491943
20,E1,2,outlier,"[1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.8135008811950684
21,E1,0,outlier,"[0, 1, 2]",95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,1.758502721786499
22,E1,1,outlier,"[0, 1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.7642178535461426
23,E1,2,outlier,"[0, 1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.7723169326782227
24,E1,0,constant,[0],95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,1.7567501068115234
25,E1,1,constant,[0],100,0,0,0,1.0,0.0,0,0,0,2,1.762254238128662
26,E1,2,constant,[0],100,0,0,0,1.0,0.0,0,0,0,2,1.771111249923706
27,E1,0,constant,[1],95,5,0,0,0.95,0.0,0.0,0,0,2,1.819046974182129
28,E1,1,constant,[1],100,0,0,0,1.0,0.0,0,0,0,2,1.824307918548584
29,E1,2,constant,[1],100,0,0,0,1.0,0.0,0,0,0,2,1.8322570323944092
30,E1,0,constant,[2],95,5,0,0,0.95,0.0,0.0,0,0,2,1.9330518245697021
31,E1,1,constant,[2],100,0,0,0,1.0,0.0,0,0,0,2,1.938344955444336
32,E1,2,constant,[2],100,0,0,0,1.0,0.0,0,0,0,2,1.9489998817443848
33,E1,0,constant,"[0, 1]",95,5,0,0,0.95,0.0,0.0,0,0,2,1.8658990859985352
34,E1,1,constant,"[0, 1]",100,0,0,0,1.0,0.0,0,0,0,2,1.8711659908294678
35,E1,2,constant,"[0, 1]",100,0,0,0,1.0,0.0,0,0,0,2,1.8788409233093262
36,E1,0,constant,"[0, 2]",95,3,0,2,0.97,0.0,0.4,1.0,0.5714285714285715,2,1.8658719062805176
37,E1,1,constant,"[0, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.8713958263397217
38,E1,2,constant,"[0, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.8790159225463867
39,E1,0,constant,"[1, 2]",95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,1.997499942779541
40,E1,1,constant,"[1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,2.003115177154541
41,E1,2,constant,"[1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,2.013477087020874
42,E1,0,constant,"[0, 1, 2]",95,1,0,4,0.99,0.0,0.8,1.0,0.888888888888889,2,1.7974107265472412
43,E1,1,constant,"[0, 1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.8029649257659912
44,E1,2,constant,"[0, 1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.8113977909088135
45,E1,0,noise,[0],95,5,0,0,0.95,0.0,0.0,0,0,2,1.8394849300384521
46,E1,1,noise,[0],100,0,0,0,1.0,0.0,0,0,0,2,1.8451638221740723
47,E1,2,noise,[0],100,0,0,0,1.0,0.0,0,0,0,2,1.853212833404541
48,E1,0,noise,[1],95,5,0,0,0.95,0.0,0.0,0,0,2,1.8133440017700195
49,E1,1,noise,[1],100,0,0,0,1.0,0.0,0,0,0,2,1.8187170028686523
50,E1,2,noise,[1],100,0,0,0,1.0,0.0,0,0,0,2,1.8266119956970215
51,E1,0,noise,[2],95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,1.76682710647583
52,E1,1,noise,[2],100,0,0,0,1.0,0.0,0,0,0,2,1.7723009586334229
53,E1,2,noise,[2],100,0,0,0,1.0,0.0,0,0,0,2,1.7799508571624756
54,E1,0,noise,"[0, 1]",95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,1.760483980178833
55,E1,1,noise,"[0, 1]",100,0,0,0,1.0,0.0,0,0,0,2,1.7659518718719482
56,E1,2,noise,"[0, 1]",100,0,0,0,1.0,0.0,0,0,0,2,1.7735490798950195
57,E1,0,noise,"[0, 2]",95,2,0,3,0.98,0.0,0.6,1.0,0.7499999999999999,2,1.7749269008636475
58,E1,1,noise,"[0, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.7804639339447021
59,E1,2,noise,"[0, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.7880189418792725
60,E1,0,noise,"[1, 2]",95,5,0,0,0.95,0.0,0.0,0,0,2,1.7634048461914062
61,E1,1,noise,"[1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.7687859535217285
62,E1,2,noise,"[1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.7766339778900146
63,E1,0,noise,"[0, 1, 2]",95,1,0,4,0.99,0.0,0.8,1.0,0.888888888888889,2,1.76373291015625
64,E1,1,noise,"[0, 1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.7691359519958496
65,E1,2,noise,"[0, 1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.77748703956604
66,E1,0,normal,[],100,0,0,0,1.0,0.0,0,0,0,2,1.8063819408416748
67,E1,1,normal,[],100,0,0,0,1.0,0.0,0,0,0,2,1.8111321926116943
68,E1,2,normal,[],100,0,0,0,1.0,0.0,0,0,0,2,1.816528081893921
69,E1,0,outlier,[0],95,5,0,0,0.95,0.0,0.0,0,0,2,1.7953929901123047
70,E1,1,outlier,[0],100,0,0,0,1.0,0.0,0,0,0,2,1.8016119003295898
71,E1,2,outlier,[0],100,0,0,0,1.0,0.0,0,0,0,2,1.8102920055389404
72,E1,0,outlier,[1],95,5,0,0,0.95,0.0,0.0,0,0,2,1.9439301490783691
73,E1,1,outlier,[1],100,0,0,0,1.0,0.0,0,0,0,2,1.9522769451141357
74,E1,2,outlier,[1],100,0,0,0,1.0,0.0,0,0,0,2,1.959489107131958
75,E1,0,outlier,[2],95,2,0,3,0.98,0.0,0.6,1.0,0.7499999999999999,2,1.8539252281188965
76,E1,1,outlier,[2],100,0,0,0,1.0,0.0,0,0,0,2,1.8600661754608154
77,E1,2,outlier,[2],100,0,0,0,1.0,0.0,0,0,0,2,1.8673081398010254
78,E1,0,outlier,"[0, 1]",95,5,0,0,0.95,0.0,0.0,0,0,2,2.4482789039611816
79,E1,1,outlier,"[0, 1]",100,0,0,0,1.0,0.0,0,0,0,2,2.4544730186462402
80,E1,2,outlier,"[0, 1]",100,0,0,0,1.0,0.0,0,0,0,2,2.4616599082946777
81,E1,0,outlier,"[0, 2]",95,1,0,4,0.99,0.0,0.8,1.0,0.888888888888889,2,2.699854850769043
82,E1,1,outlier,"[0, 2]",100,0,0,0,1.0,0.0,0,0,0,2,2.705960988998413
83,E1,2,outlier,"[0, 2]",100,0,0,0,1.0,0.0,0,0,0,2,2.713300943374634
84,E1,0,outlier,"[1, 2]",95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,1.9359478950500488
85,E1,1,outlier,"[1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.9418940544128418
86,E1,2,outlier,"[1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.9497530460357666
87,E1,0,outlier,"[0, 1, 2]",95,2,0,3,0.98,0.0,0.6,1.0,0.7499999999999999,2,1.8319118022918701
88,E1,1,outlier,"[0, 1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.8375847339630127
89,E1,2,outlier,"[0, 1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.8428847789764404
90,E1,0,constant,[0],95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,1.8093581199645996
91,E1,1,constant,[0],100,0,0,0,1.0,0.0,0,0,0,2,1.8147211074829102
92,E1,2,constant,[0],100,0,0,0,1.0,0.0,0,0,0,2,1.8193089962005615
93,E1,0,constant,[1],95,5,0,0,0.95,0.0,0.0,0,0,2,1.7846908569335938
94,E1,1,constant,[1],100,0,0,0,1.0,0.0,0,0,0,2,1.7896089553833008
95,E1,2,constant,[1],100,0,0,0,1.0,0.0,0,0,0,2,1.794600009918213
96,E1,0,constant,[2],95,5,0,0,0.95,0.0,0.0,0,0,2,1.7760519981384277
97,E1,1,constant,[2],100,0,0,0,1.0,0.0,0,0,0,2,1.780958890914917
98,E1,2,constant,[2],100,0,0,0,1.0,0.0,0,0,0,2,1.7867038249969482
99,E1,0,constant,"[0, 1]",95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,1.774921178817749
100,E1,1,constant,"[0, 1]",100,0,0,0,1.0,0.0,0,0,0,2,1.7805581092834473
101,E1,2,constant,"[0, 1]",100,0,0,0,1.0,0.0,0,0,0,2,1.7852280139923096
102,E1,0,constant,"[0, 2]",95,1,0,4,0.99,0.0,0.8,1.0,0.888888888888889,2,1.9056880474090576
103,E1,1,constant,"[0, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.9108541011810303
104,E1,2,constant,"[0, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.9155499935150146
105,E1,0,constant,"[1, 2]",95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,1.7927448749542236
106,E1,1,constant,"[1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.7979159355163574
107,E1,2,constant,"[1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.8027498722076416
108,E1,0,constant,"[0, 1, 2]",95,1,0,4,0.99,0.0,0.8,1.0,0.888888888888889,2,1.7748808860778809
109,E1,1,constant,"[0, 1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.7799468040466309
110,E1,2,constant,"[0, 1, 2]",100,0,0,0,1.0,0.0,0,0,0,2,1.7848360538482666
111,E1,0,noise,[0],95,4,0,1,0.96,0.0,0.2,1.0,0.33333333333333337,2,1.841845989227295
112,E1,1,noise,[0],100,0,0,0,1.0,0.0,0,0,0,2,1.8470289707183838
113,E1,2,noise,[0],100,0,0,0,1.0,0.0,0,0,0,2,1.8517279624938965
114,E1,0,noise,[1],95,5,0,0,0.95,0.0,0.0,0,0,2,1.7888038158416748
115,E1,1,noise,[1],100,0,0,0,1.0,0.0,0,0,0,2,1.7937049865722656
116,E1,2,noise,[1],100,0,0,0,1.0,0.0,0,0,0,2,1.7984910011291504
